time_key,col,auc,n
201711,te_fico_dti,0.4825141565775285,3636
201712,te_fico_dti,0.4898909256065799,2909
201801,te_fico_dti,0.49052458991790854,2629
201802,te_fico_dti,0.5097091360802513,2057
201803,te_fico_dti,0.5113394004908263,2118
201804,te_fico_dti,0.46962465245597773,2050
201805,te_fico_dti,0.5127570263172598,1979
201806,te_fico_dti,0.5233226534343537,1456
201807,te_fico_dti,0.4688231981092846,1282
201808,te_fico_dti,0.4870719776380154,1044
201809,te_fico_dti,0.527898492408391,711
201810,te_fico_dti,0.6266005523474768,597
201811,te_fico_dti,0.5372327930467466,482
201812,te_fico_dti,0.5188034188034187,356
201601,te_grade_term,0.5580695771316908,8316
201602,te_grade_term,0.5718679671321988,10254
201603,te_grade_term,0.5758225353049785,14575
201604,te_grade_term,0.5678689437011674,7093
201605,te_grade_term,0.5773412119197103,5261
201606,te_grade_term,0.555979360796584,6098
201607,te_grade_term,0.5375761652624631,6453
201608,te_grade_term,0.5518577513314761,6697
201609,te_grade_term,0.5378584857993998,5029
201610,te_grade_term,0.4642332623882959,5582
201611,te_grade_term,0.4700167817778565,5713
201612,te_grade_term,0.45283562737829686,5890
201701,te_grade_term,0.46983277010358926,4876
201702,te_grade_term,0.4641347615696699,4060
201703,te_grade_term,0.4866084086478823,4988
201704,te_grade_term,0.48578191858976716,3881
201705,te_grade_term,0.48757443692099683,4871
201706,te_grade_term,0.5045812981262663,4553
201707,te_grade_term,0.47434743971399823,4366
201708,te_grade_term,0.5073260082735443,4610
201709,te_grade_term,0.5022171332480729,3963
201710,te_grade_term,0.46582129412914736,3576
201711,te_grade_term,0.49046616171457075,3636
201712,te_grade_term,0.527358724886987,2909
201801,te_grade_term,0.525961235423889,2629
201802,te_grade_term,0.5126908721230019,2057
201803,te_grade_term,0.5103665127965408,2118
201804,te_grade_term,0.5221617238183502,2050
201805,te_grade_term,0.5024969268592502,1979
201806,te_grade_term,0.5481349948589095,1456
201807,te_grade_term,0.4917675978124127,1282
201808,te_grade_term,0.43961681807593755,1044
201809,te_grade_term,0.44456515907505767,711
201810,te_grade_term,0.5083793622897314,597
201811,te_grade_term,0.41143998120742303,482
201812,te_grade_term,0.6262108262108262,356
201601,te_iy_region,0.5,8316
201602,te_iy_region,0.5,10254
201603,te_iy_region,0.5,14575
201604,te_iy_region,0.5,7093
201605,te_iy_region,0.5,5261
201606,te_iy_region,0.5,6098
201607,te_iy_region,0.5,6453
201608,te_iy_region,0.5,6697
201609,te_iy_region,0.5,5029
201610,te_iy_region,0.4953950929074678,5582
201611,te_iy_region,0.505586561084828,5713
201612,te_iy_region,0.5013066478020614,5890
201701,te_iy_region,0.5,4876
201702,te_iy_region,0.5,4060
201703,te_iy_region,0.5,4988
201704,te_iy_region,0.5,3881
201705,te_iy_region,0.5,4871
201706,te_iy_region,0.5,4553
201707,te_iy_region,0.5,4366
201708,te_iy_region,0.5,4610
201709,te_iy_region,0.5,3963
201710,te_iy_region,0.5,3576
201711,te_iy_region,0.5,3636
201712,te_iy_region,0.5,2909
